Nouns,Errors_in_non_count_form,Type,Condition_label,Intervening_noun_base_form,Intervening_noun_plural_form,Intervening_noun_count_form,Gender_of_intervening_noun,Number_of_intervening_noun,Gender_of_target_noun,Number_of_target_noun,Beginning,Numeral,Condition_beginning,First_adjective,Marker_for_indefinite_form_usage_of_intervening_noun,First_position,Condition_end,Second_position,Target_noun_base_form,Target_noun_plural_form,Target_noun_count_form,Target_noun_other_plural_forms,Group,Numeral_Type,Final_sentence,Target_noun_after_final_sentence,Audio_files_numbering,File_prefix_of_all_audio_files,All_audio_files_original_name,Path_of_audio_files_final_name,Output_audio_file_partial_filename,Number_of_words_in_condition,All_colums_with_count_forms_with_the_wrong_ending,All_colums_with_plural_forms_with_the_wrong_ending,All_columns_with_identical_plural_and_count_forms,All_columns_with_multiple_spaces,All_columns_with_a_final_space
,,target1,P1,къща,къщи,къщи,f,pl,m,pl,Стопаните наториха,два,посадени между,ниски,,ниските,къщи,,дъб,дъбове,дъба,,A,low,Стопаните наториха два посадени между ниските къщи,дъб,STE-001,Targets,target_STE-001_mono.wav,Targets/mono/target_STE-001_mono.wav,target1_P1_дъб_къща_два_ниски_A,5,,,,,
,,target1,P2,къща,къщи,къщи,f,pl,m,pl,Стопаните наториха,два,посадени между,ниски,,,къщите,ниски,дъб,дъбове,дъба,,B,low,Стопаните наториха два посадени между къщите ниски,дъб,STE-002,Targets,target_STE-002_mono.wav,Targets/mono/target_STE-002_mono.wav,target1_P2_дъб_къща_два_ниски_B,5,,,,,
,,target1,P1,боя,бои,бои,f,pl,m,pl,Студентите разучаваха,три,нарисувани с,акварелни,,акварелните,бои,,портрет,портрети,портрета,,B,low,Студентите разучаваха три нарисувани с акварелните бои,портрет,STE-003,Targets,target_STE-003_mono.wav,Targets/mono/target_STE-003_mono.wav,target1_P1_портрет_боя_три_акварелни_B,5,,,,,
,,target1,P2,боя,бои,бои,f,pl,m,pl,Студентите разучаваха,три,нарисувани с,акварелни,,,боите,акварелни,портрет,портрети,портрета,,A,low,Студентите разучаваха три нарисувани с боите акварелни,портрет,STE-004,Targets,target_STE-004_mono.wav,Targets/mono/target_STE-004_mono.wav,target1_P2_портрет_боя_три_акварелни_A,5,,,,,
,,target1,P1,среща,срещи,срещи,f,pl,m,pl,Чиновниците обнародваха,четири,гласувани след,дълги,,дългите,срещи,,закон,закони,закона,,A,low,Чиновниците обнародваха четири гласувани след дългите срещи,закон,STE-005,Targets,target_STE-005_mono.wav,Targets/mono/target_STE-005_mono.wav,target1_P1_закон_среща_четири_дълги_A,5,,,,,
,,target1,P2,среща,срещи,срещи,f,pl,m,pl,Чиновниците обнародваха,четири,гласувани след,дълги,,,срещите,дълги,закон,закони,закона,,B,low,Чиновниците обнародваха четири гласувани след срещите дълги,закон,STE-006,Targets,target_STE-006_mono.wav,Targets/mono/target_STE-006_mono.wav,target1_P2_закон_среща_четири_дълги_B,5,,,,,
,,target1,P1,улица,улици,улици,f,pl,m,pl,Геодезистите измериха,пет,разположени между,градски,,градските,улици,,блок,блокове,блока,,B,high,Геодезистите измериха пет разположени между градските улици,блок,STE-007,Targets,target_STE-007_mono.wav,Targets/mono/target_STE-007_mono.wav,target1_P1_блок_улица_пет_градски_B,5,,,,,
,,target1,P2,улица,улици,улици,f,pl,m,pl,Геодезистите измериха,пет,разположени между,градски,,,улиците,градски,блок,блокове,блока,,A,high,Геодезистите измериха пет разположени между улиците градски,блок,STE-008,Targets,target_STE-008_mono.wav,Targets/mono/target_STE-008_mono.wav,target1_P2_блок_улица_пет_градски_A,5,,,,,
,,target1,P1,компания,компании,компании,f,pl,m,pl,Ръководителите оцениха,шест,конструирани от,швейцарски,,швейцарските,компании,,робот,роботи,робота,,A,high,Ръководителите оцениха шест конструирани от швейцарските компании,робот,STE-009,Targets,target_STE-009_mono.wav,Targets/mono/target_STE-009_mono.wav,target1_P1_робот_компания_шест_швейцарски_A,5,,,,,
,,target1,P2,компания,компании,компании,f,pl,m,pl,Ръководителите оцениха,шест,конструирани от,швейцарски,,,компаниите,швейцарски,робот,роботи,робота,,B,high,Ръководителите оцениха шест конструирани от компаниите швейцарски,робот,STE-010,Targets,target_STE-010_mono.wav,Targets/mono/target_STE-010_mono.wav,target1_P2_робот_компания_шест_швейцарски_B,5,,,,,
,,target1,P1,монахиня,монахини,монахини,f,pl,m,pl,Учените разчетоха,седем,преписани от,средновековни,,средновековните,монахини,,ръкопис,ръкописи,ръкописа,,B,high,Учените разчетоха седем преписани от средновековните монахини,ръкопис,STE-011,Targets,target_STE-011_mono.wav,Targets/mono/target_STE-011_mono.wav,target1_P1_ръкопис_монахиня_седем_средновековни_B,5,,,,,
,,target1,P2,монахиня,монахини,монахини,f,pl,m,pl,Учените разчетоха,седем,преписани от,средновековни,,,монахините,средновековни,ръкопис,ръкописи,ръкописа,,A,high,Учените разчетоха седем преписани от монахините средновековни,ръкопис,STE-012,Targets,target_STE-012_mono.wav,Targets/mono/target_STE-012_mono.wav,target1_P2_ръкопис_монахиня_седем_средновековни_A,5,,,,,
,,target1,P1,агенция,агенции,агенции,f,pl,m,pl,Издателството публикува,два,преведени в,чужди,,чуждите,агенции,,роман,романи,романа,,A,low,Издателството публикува два преведени в чуждите агенции,роман,STE-013,Targets,target_STE-013_mono.wav,Targets/mono/target_STE-013_mono.wav,target1_P1_роман_агенция_два_чужди_A,5,,,,,
,,target1,P2,агенция,агенции,агенции,f,pl,m,pl,Издателството публикува,два,преведени в,чужди,,,агенциите,чужди,роман,романи,романа,,B,low,Издателството публикува два преведени в агенциите чужди,роман,STE-014,Targets,target_STE-014_mono.wav,Targets/mono/target_STE-014_mono.wav,target1_P2_роман_агенция_два_чужди_B,5,,,,,
,,target1,P1,студентка,студентки,студентки,f,pl,m,pl,Уредниците изложиха,пет,фотографирани от,млади,,младите,студентки,,бик,бикове,бика,,B,high,Уредниците изложиха три фотографирани от младите студентки,бик,STE-015,Targets,target_STE-015_mono.wav,Targets/mono/target_STE-015_mono.wav,target1_P1_бик_студентка_пет_млади_B,5,,,,,
,,target1,P2,студентка,студентки,студентки,f,pl,m,pl,Уредниците изложиха,пет,фотографирани от,млади,,,студентките,млади,бик,бикове,бика,,A,high,Уредниците изложиха три фотографирани от студентките млади,бик,STE-016,Targets,target_STE-016_mono.wav,Targets/mono/target_STE-016_mono.wav,target1_P2_бик_студентка_пет_млади_A,5,,,,,
